,chosun_url,chosun_article_most_shared,chosun_title,chosun_time_laps,chosun_time_daytime,chosun_num_facebook_share,chosun_num_comments,chosun_num_likes,final_naver_num_good,final_naver_num_warm,final_naver_num_sad,final_naver_num_angry,final_naver_num_want,final_naver_num_cheer,final_naver_num_congrats,final_naver_num_expect,final_naver_num_surprise,final_naver_num_recommend,final_naver_comment_num,final_naver_comment_num_deleted,final_naver_comment_num_violation,final_naver_sort_recent,final_naver_sort_like,final_naver_sort_ratio,sum_chosun_Headline_Thum01,sum_chosun_Headline_Thum02,sum_chosun_Headline_Thum03,sum_chosun_Headline_Thum04,sum_chosun_Headline_Txt,sum_chosun_Headline_Txt02,sum_chosun_Headline_Txt03,sum_chosun_Headline_Txt04,sum_chosun_Top,sum_chosun_economy,sum_chosun_National_Issue,sum_chosun_editorial,sum_chosun_rank,num_good_words,num_bad_words,num_neutral_words,num_none_words,num_all_words,num_long_words,num_sentences,paper_location_A,paper_location_B,paper_location_D,paper_location_online,section_opinion,section_politics,section_social,section_economy,section_world,section_entertain,section_domestic,section_culture,section_life
10,https://news.chosun.com/site/data/html_dir/2020/06/04/2020060403677.html,0.0,"미 시위의 단골 문구 ""흑인의 생명도 중요하다"" 캠페인의 유래",205.07272253333332,1.0,0.0,3.0,5.0,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0,2,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,0.0,660.0,676.0,108.0,20.0,0,0,0,1,1,1,1,1,1,1,1,1,1
11,https://news.chosun.com/site/data/html_dir/2020/06/04/2020060404476.html,0.0,"""놈, 골수, 저능한"" 악녀로 돌변한 김여정",109.57875768333334,0.0,7.0,68.0,17.0,16,3,1,506,3.0,0.0,0.0,0.0,0.0,77,278,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,9.0,1.0,523.0,536.0,87.0,16.0,1,0,0,0,1,1,1,1,1,1,1,1,1
12,https://news.chosun.com/site/data/html_dir/2020/06/05/2020060500511.html,0.0,오늘부터 비말 차단 마스크 시중 공급,119.02898176666666,1.0,0.0,1.0,5.0,0,2,4,609,5.0,0.0,0.0,0.0,0.0,1,8,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,195.0,198.0,32.0,8.0,0,0,0,1,1,1,1,1,1,1,1,1,1
13,https://news.chosun.com/site/data/html_dir/2020/06/05/2020060500720.html,0.0,"정세현 ""최고 존엄에 도전하는데 北 가만히 있겠나""",36.158122266666666,1.0,5.0,25.0,5.0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,1,17,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,7.0,1.0,330.0,349.0,45.0,8.0,0,0,0,1,1,1,1,1,1,1,1,1,1
14,https://news.chosun.com/site/data/html_dir/2020/06/05/2020060500203.html,0.0,"정원인듯, 갤러리인듯… 이 풍경 자체가 포교지요",139.21108493333335,0.0,2.0,1.0,2.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2,1,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,7.0,1.0,854.0,873.0,121.0,45.0,1,0,0,0,1,1,1,1,1,1,1,1,1
15,https://news.chosun.com/site/data/html_dir/2020/06/05/2020060500185.html,0.0,"금지된 천안문 추모식… 홍콩시민들 ""보안법 반대"" 외쳤다",258.9917197666667,0.0,0.0,1.0,3.0,0,1,0,1,0.0,0.0,0.0,0.0,0.0,11,14,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,0.0,778.0,788.0,101.0,28.0,1,0,0,0,1,1,1,1,1,1,1,1,1
16,https://news.chosun.com/site/data/html_dir/2020/06/05/2020060500173.html,0.0,서울 다단계 판매점서 장년·고령층 13명 감염,258.5289342166667,0.0,1.0,0.0,1.0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,1.0,412.0,420.0,44.0,16.0,1,0,0,0,1,1,1,1,1,1,1,1,1
17,https://news.chosun.com/site/data/html_dir/2020/06/05/2020060500046.html,0.0,"[논설실의 뉴스 읽기] 코로나 치료, 일반 환자보다 3~4배 힘들어… 번아웃되는 의료진",257.8892977666667,0.0,0.0,0.0,5.0,4,1,2,525,5.0,0.0,0.0,0.0,0.0,5,2,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,57.0,3.0,1592.0,1663.0,276.0,75.0,1,0,0,0,1,1,1,1,1,1,1,1,1
18,https://news.chosun.com/site/data/html_dir/2020/06/05/2020060500150.html,0.0,항일 무장 독립전쟁의 첫 승리… 봉오동 전투 100주년,257.3749818,0.0,1.0,0.0,0.0,115,0,0,3,3.0,0.0,0.0,0.0,0.0,0,3,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,1.0,507.0,516.0,98.0,16.0,1,0,0,0,1,1,1,1,1,1,1,1,1
19,https://news.chosun.com/site/data/html_dir/2020/06/05/2020060500306.html,0.0,"""신재생에너지는 날씨에 좌우… 원전이 완벽하게 보완해준다""",337.3207842333333,0.0,10.0,6.0,20.0,18,0,0,0,1.0,0.0,0.0,0.0,0.0,3,3,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,10.0,6.0,0.0,428.0,444.0,61.0,14.0,0,1,0,0,1,1,1,1,1,1,1,1,1
